time,open,high,low,close
2022-08-31T05:00:00+01:00,1606.1,1618.3,1577.63,1585.08
2022-08-31T09:00:00+01:00,1585.06,1606.85,1561.18,1595.35
2022-08-31T13:00:00+01:00,1595.35,1608.82,1536.64,1561.21
2022-08-31T17:00:00+01:00,1561.22,1588.7,1529.37,1575.78
2022-08-31T21:00:00+01:00,1575.78,1583.72,1542.53,1554.46
2022-09-01T01:00:00+01:00,1554.45,1573.58,1535.37,1549.4
2022-09-01T05:00:00+01:00,1549.36,1562.72,1531.83,1544.54
2022-09-01T09:00:00+01:00,1544.43,1585.18,1534.38,1577.99
2022-09-01T13:00:00+01:00,1578.01,1580.91,1514.14,1535.37
2022-09-01T17:00:00+01:00,1535.56,1571.94,1524.38,1564.36
2022-09-01T21:00:00+01:00,1564.35,1598.17,1562.18,1585.51
2022-09-02T01:00:00+01:00,1585.62,1604.49,1568.31,1596.29
2022-09-02T05:00:00+01:00,1596.07,1608.21,1579.99,1594.31
2022-09-02T09:00:00+01:00,1594.05,1601.62,1582.76,1593.22
2022-09-02T13:00:00+01:00,1594.18,1647.84,1587.39,1636.73
2022-09-02T17:00:00+01:00,1638.05,1638.6,1547.77,1561.3
2022-09-02T21:00:00+01:00,1560.56,1585.63,1551.66,1575.55
2022-09-03T01:00:00+01:00,1575.31,1581.75,1554.87,1561.54
2022-09-03T05:00:00+01:00,1561.34,1572.71,1535.2,1544.32
2022-09-03T09:00:00+01:00,1544.29,1559,1540.93,1549.26
2022-09-03T13:00:00+01:00,1549.26,1564.92,1545.08,1548.39
2022-09-03T17:00:00+01:00,1549.28,1562.33,1537.36,1549.74
2022-09-03T21:00:00+01:00,1548.8,1560.49,1547.55,1557.72
2022-09-04T01:00:00+01:00,1557.96,1561.47,1548.17,1552.36
2022-09-04T05:00:00+01:00,1552.51,1556.88,1544.44,1545.41
2022-09-04T09:00:00+01:00,1544.35,1564.01,1542.01,1564.01
2022-09-04T13:00:00+01:00,1566.94,1578.94,1545.34,1560.19
2022-09-04T17:00:00+01:00,1560.51,1574.06,1556.61,1567.18
2022-09-04T21:00:00+01:00,1568.25,1580.25,1564.61,1579.4
2022-09-05T01:00:00+01:00,1579.88,1590.73,1569.22,1575.61
2022-09-05T05:00:00+01:00,1575.91,1579.33,1558.02,1562.56
2022-09-05T09:00:00+01:00,1562.41,1569.42,1558.33,1566.78
2022-09-05T13:00:00+01:00,1566.12,1605.54,1562.78,1600.84
2022-09-05T17:00:00+01:00,1601.2,1612.6,1577.19,1585.84
2022-09-05T21:00:00+01:00,1586.55,1627.22,1585.28,1617.33
2022-09-06T01:00:00+01:00,1618,1674.28,1614.95,1639.49
2022-09-06T05:00:00+01:00,1640.6,1676.09,1637.37,1658.7
2022-09-06T09:00:00+01:00,1658.96,1677.34,1648.51,1668.47
2022-09-06T13:00:00+01:00,1669.08,1686.3,1636.07,1669.65
2022-09-06T17:00:00+01:00,1669.13,1673.88,1565.53,1576.47
2022-09-06T21:00:00+01:00,1576.96,1588.89,1556.73,1558.87
2022-09-07T01:00:00+01:00,1557.52,1567.84,1492.8,1510.55
2022-09-07T05:00:00+01:00,1510.11,1526.99,1500.02,1518.79
2022-09-07T09:00:00+01:00,1518.31,1524.86,1505.79,1513.99
2022-09-07T13:00:00+01:00,1513.78,1550.46,1501.61,1544.38
2022-09-07T17:00:00+01:00,1545.17,1581.38,1536.58,1570.74
2022-09-07T21:00:00+01:00,1571.5,1656.15,1570.09,1629.45
2022-09-08T01:00:00+01:00,1629.7,1636.6,1614.18,1629.55
2022-09-08T05:00:00+01:00,1630.17,1646.23,1596.39,1613.51
2022-09-08T09:00:00+01:00,1613.53,1645.01,1606.79,1635.83
2022-09-08T13:00:00+01:00,1635.72,1652.03,1598.87,1629.7
2022-09-08T17:00:00+01:00,1628.36,1649.52,1610.18,1649.39
2022-09-08T21:00:00+01:00,1650.15,1663.16,1627.7,1635.57
2022-09-09T01:00:00+01:00,1635.52,1673.76,1631.53,1672.46
2022-09-09T05:00:00+01:00,1674.49,1715.91,1670.47,1705.46
2022-09-09T09:00:00+01:00,1706.14,1713.73,1685.2,1700.81
2022-09-09T13:00:00+01:00,1699.86,1745.43,1699.03,1719.52
2022-09-09T17:00:00+01:00,1718.87,1725.77,1696.55,1720.64
2022-09-09T21:00:00+01:00,1718.24,1731.88,1707.74,1719.05
2022-09-10T01:00:00+01:00,1717.83,1742.74,1707.96,1734.46
2022-09-10T05:00:00+01:00,1734.75,1745.21,1709.76,1711.59
2022-09-10T09:00:00+01:00,1712.03,1728.63,1709.86,1724.54
